name	value
Adventist	1
Anglican	1
Baptist	1
Calvinist	1
Catholic	1
Congressional	1
Evangelical	1
Holiness	1
Jehovah’s Witness	-1
Latter Day Saints	-1
Lutheran	1
Methodist	1
Orthodox	1
Pentecoastal	1
Presbyterian	1
